Pair 1,Pair 2
Beyonce,Solange
Katy Perry,Zooey Deschanel
Hilary Duff,Haylie Duff
Ben Affleck,Casey Affleck
Penelope Cruz,Monica Cruz
Dax Shepard,Zach Braff
Luke Wilson,Owen Wilson
Bryce Dallas Howard,Jessica Chastain
Sarah Hyland,Mila Kunis
Selma Blair,Kris Jenner
Amber Heard,Scarlett Johansson
Natalie Portman,Keira Knightley
Lily Collins,Jennifer Connelly
Margot Robbie,Jaime Pressly
Margot Robbie,Jaime King
Jaime King,Jaime Pressly
Edie Falco,Jane Lynch
Minka Kelly,Leighton Meester
Angelina Jolie,Megan Fox
Victoria Justice,Nina Dobrev
America Ferrera,Jordin Sparks
Zoe Saldana,Thandie Newton
Elizabeth Banks,Rachel McAdams
Rachel Bilson,Nora Zehetner
Penelope Cruz,Paz Vega
Jada Pinkett Smith,Zoe Saldana
Will Ferrell,Chad Smith
Emily Kinney,Evanna Lynch
Chord Overstreet,Austin Butler
Henry Cavill,Matt Bomer
Alicia Silverstone,Kristen Stewart
Rachel Bilson,Selena Gomez
Dane Cook,Skylar Astin
Chandra Wilson,Alex Newell
Chace Crawford,Ian Somerhalder
Jeremy Irons,Daniel Day-Lewis
Ellen Barkin,Cameron Diaz
Jai Courtney,Phillip Phillips
Zachary Quinto,Eli Roth
Dana Delany,Mimi Rogers
Drea de Matteo,Portia de Rossi
Emmanuelle Chriqui,JWoww
Benicio Del Toro,Brad Pitt
Jennifer Garner,Hilary Duff
Christy Turlington,Jessica Biel
Georgia May Jagger,Lara Stone
Demi Moore,Courteney Cox
Richard Hammond,David Tennant
Kristen Wilson,Angelina Jolie
Dave Coulier,Jeff Daniels
Stephen Colbert,Bob Saget
Robin Williams,Bono
Carlos Bardem,Jackie Chan
Alicia Keys,Jessica Alba
Carmen Electra,Lauren Conrad
Daniel Radcliffe,Elijah Wood
Jennifer Coolidge,Daryl Hannah
Kris Humphries,Taylor Lautner
Peter Jackson,Jason Segel
Pee-Wee Herman,Alan Cumming
Ice Cube,Oshea Jackson Jr
Renee Zellweger,Joey Lauren Adams
Kenny G,Weird Al
Krysten Ritter,Anne Hathaway
Kofi Annan,Morgan Freeman
Elias Koteas,Christopher Meloni
Helen Hunt,Leelee Sobieski
William Dafoe,Denis leary
Jeff Bridges,Kurt Russel
Hugh Jackman,Clint Eastwood
Jon Stewart,Richard Lewis
Tony Hayward,Michael Sheen
Michael Sheen,Andy Serkis
Tony Hayward,Andy Serkis
Roselyn Sanchez,Nicole Scherzinger
Amanda Peet,Lake Bell
Penn Badgley,John Mayer
Mickey Rourke,Tim Robbins
Shia LaBeouf,Dave Gahan
Ginnifer Goodwin,Jennifer Morrison
Patricia Arquette,Emilie de Ravin
Ray Romano,Sanjay Gupta
Wendie Malick,Kate Walsh
Kelly Lynch,Angela Kinsey
Courteney Cox,Nelly Furtado
Jeffrey Tambor,Dr Phil McGraw
David Cross,Paul Giamatti
Seth MacFarlane,Christopher Knight
Josh Duhamel,Timothy Olyphant
Barack Obama,Ilham Anas
Ronda Rousey,Julia Stiles
Ralph Fiennes,Daniel Day-Lewis
Patrick Dempsey,Don Swayze
Mary-Kate Olsen,Elizabeth Olsen
Mary-Kate Olsen,Ashley Olsen
Ashley Olsen,Elizabeth Olsen
Venus Williams,Serena Williams
Helen Mirren Young,Jennifer Lawrence
Joseph Gordon Levitt,Heath Ledger
Javier Bardem,Geoffrey Dean Morgan
Tom Hardy,Logan Marshall Green
Carrie Underwood,Emily Osment
Tracy Morgan,Doug E. Fresh
Gigi Hadid,Bella Hadid
Isaac Mizrahi,JJ Abrams
Rob Lowe,Ian Somerhalder
Patrick Dempsey,Guillaume Canet
Zooey Kravitz,Lisa Bonet
Jonathan Pryce,Pope Francis
Ben Mckenzie,Russell Crowe
Jesse Plemons,Matt Damon
Laura Benanti,Melania Trump
DB Woodside,Morris Chestnut
Nora Zehetner,Priscilla Faia
Jameela Jamil,Hannah Simone
Bridget Regan,Abigail Spencer
Josh McRoberts,Charlie Day
Dane Cook,Gavin Degraw
Jana Kramer,Camille Leblanc-Bazinet
Amy Sedaris,Kyra Sedgwick
Billie Eilish,Cara Delevigne
Lili Reinhart,Brittany Murphy
Tyler the Creator,J. Alexander
Neels Visser,Austin Butler
Neels Visser,Chord Overstreet
Austin Butler,Chord Overstreet
Emma Watson,Kiernan Shipka
Skrillex,Corey Feldman
Jennifer Lawrence,Bella Hadid
Jennifer Lawrence,Carla Bruni
Bella Hadid,Carla Bruni
Eva Mendes,Ashley Graham
Emma Stone,Jane Levy
Julie Bowen,Elizabeth Banks
David Fumero,Ed Westwick
Ana Gasteyer,Kathryn Hahn
Eliza Coupe,Jordan Hinson
Missy Peregrym,Hilary Duff
Terry Notary,Jim Carrey
Penelope Cruz,Monica Cruz
John Mayer,Carl Mayer
Mamie Gummer,Grace Gummer
Brandon Jenner,Brody Jenner
Ansel Elgort,Warren Elgort
Zooey Deschanel,Emily Deschanel
Ralph Fiennes,Joseph Fiennes
Amy Mccarthy,Jenny Mccarthy
Britney Spears,Jamie Lynn Spears
Ashlee Simpson,Jessica Simpson
Usher Raymond,James Lackey
Jonathan Rhys Meyers,Justin Bartha
Dianna Agron,Annabelle Wallis
Josephine Langford,Jordan Hinson
Liam Hemsworth,Chris Hemsworth
Kim Kardashian West,Khloe Kardashian
Khloe Kardashian,Kourtney Kardashian
Kim Kardashian West,Kourtney Kardashian
Cameron Diaz,Chimene Diaz
Miley Cyrus,Noah Cyrus
Lindsay Lohan,Aliana Lohan
Eddie Murphy,Charlie Murphy
Joe Jonas,Nick Jonas
Joe Jonas,Kevin Jonas
Joe Jonas,Frankie Jonas
Nick Jonas,Kevin Jonas
Nick Jonas,Frankie Jonas
Kevin Jonas,Frankie Jonas
Kate Middleton,Pippa Middleton
Mark Wahlberg,Paul Wahlberg
Mark Wahlberg,James Wahlberg
Mark Wahlberg,Arthur Wahlberg
Mark Wahlberg,Robert Wahlberg
Paul Wahlberg,James Wahlberg
Paul Wahlberg,Arthur Wahlberg
Paul Wahlberg,Robert Wahlberg
James Wahlberg,Arthur Wahlberg
James Wahlberg,Robert Wahlberg
